"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_3F_Dendro24hrMinMaxHMP45.cr1","11683","DendroTenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)"
"TS","RN","Volts","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg"
"2012-10-02 14:20:00",17817,13.28,1944.638,1881.133,2046.571,3367.293
"2012-10-02 14:30:00",17818,13.53,1944.939,1881.226,2046.678,3366.971
"2012-10-02 14:40:00",17819,13.18,1945.221,1881.563,2046.977,3367.575
"2012-10-02 14:50:00",17820,12.69,1945.471,1882.003,2047.455,3368.293
"2012-10-02 15:00:00",17821,12.63,1945.96,1882.213,2047.683,3368.602
"2012-10-02 15:10:00",17822,12.64,1946.035,1882.285,2047.762,3367.782
"2012-10-02 15:20:00",17823,12.59,1945.921,1882.307,2047.786,3367.616
"2012-10-02 15:30:00",17824,12.57,1946.063,1882.313,2047.792,3367.56
"2012-10-02 15:40:00",17825,12.56,1945.59,1882.315,2047.795,3367.563
"2012-10-02 15:50:00",17826,12.56,1945.387,1882.315,2047.795,3367.564
"2012-10-02 16:00:00",17827,12.54,1945.998,1882.315,2047.795,3367.089
"2012-10-02 16:10:00",17828,12.52,1945.93,1882.315,2047.795,3367.564
"2012-10-02 16:20:00",17829,12.51,1946.066,1882.315,2047.795,3367.564
"2012-10-02 16:30:00",17830,12.5,1946.066,1882.315,2047.795,3367.564
"2012-10-02 16:40:00",17831,12.5,1946.066,1882.315,2047.795,3367.564
"2012-10-02 16:50:00",17832,12.48,1946.066,1882.315,2047.795,3367.564
"2012-10-02 17:00:00",17833,12.47,1946.066,1882.315,2047.795,3367.564
"2012-10-02 17:10:00",17834,12.46,1946.066,1882.315,2047.795,3367.564
"2012-10-02 17:20:00",17835,12.45,1946.066,1882.315,2047.863,3367.564
"2012-10-02 17:30:00",17836,12.45,1946.066,1882.315,2049.016,3367.564
"2012-10-02 17:40:00",17837,12.44,1946.066,1882.315,2049.152,3367.564
"2012-10-02 17:50:00",17838,12.44,1946.066,1882.315,2049.152,3367.564
"2012-10-02 18:00:00",17839,12.44,1946.066,1882.315,2049.152,3367.564
"2012-10-02 18:10:00",17840,12.43,1946.114,1882.362,2049.203,3367.648
"2012-10-02 18:20:00",17841,12.43,1946.221,1882.465,2049.315,3367.833
"2012-10-02 18:30:00",17842,12.43,1946.51,1882.745,2049.619,3368.4
"2012-10-02 18:40:00",17843,12.42,1946.882,1883.104,2050.011,3369.044
"2012-10-02 18:50:00",17844,12.42,1947.223,1883.435,2050.371,3369.568
"2012-10-02 19:00:00",17845,12.42,1947.337,1883.545,2050.49,3369.765
"2012-10-02 19:10:00",17846,12.41,1947.371,1883.578,2050.594,3369.824
"2012-10-02 19:20:00",17847,12.41,1947.382,1883.589,2050.945,3369.842
"2012-10-02 19:30:00",17848,12.41,1947.385,1883.591,2051.219,3369.848
"2012-10-02 19:40:00",17849,12.41,1947.386,1883.592,2051.899,3369.917
"2012-10-02 19:50:00",17850,12.4,1947.386,1883.592,2051.899,3369.917
"2012-10-02 20:00:00",17851,12.4,1947.386,1883.524,2051.899,3369.849
"2012-10-02 20:10:00",17852,12.4,1947.495,1883.698,2052.014,3370.107
"2012-10-02 20:20:00",17853,12.4,1947.835,1883.551,2052.372,3370.626
"2012-10-02 20:30:00",17854,12.39,1948.043,1883.074,2052.592,3370.987
"2012-10-02 20:40:00",17855,12.39,1948.329,1883.214,2052.893,3371.753
"2012-10-02 20:50:00",17856,12.39,1948.577,1883.454,2053.154,3371.911
"2012-10-02 21:00:00",17857,12.39,1948.669,1883.474,2053.25,3372.544
"2012-10-02 21:10:00",17858,12.38,1948.696,1883.501,2053.279,3372.796
"2012-10-02 21:20:00",17859,12.38,1948.704,1883.509,2053.288,3373.286
"2012-10-02 21:30:00",17860,12.38,1948.707,1883.512,2053.291,3373.222
"2012-10-02 21:40:00",17861,12.38,1948.708,1883.512,2053.292,3373.495
"2012-10-02 21:50:00",17862,12.37,1948.708,1883.512,2053.292,3373.495
"2012-10-02 22:00:00",17863,12.37,1948.708,1883.512,2053.292,3373.495
"2012-10-02 22:10:00",17864,12.37,1948.708,1883.512,2053.292,3373.495
"2012-10-02 22:20:00",17865,12.37,1948.708,1883.512,2053.292,3373.495
"2012-10-02 22:30:00",17866,12.36,1948.708,1883.512,2053.292,3373.495
"2012-10-02 22:40:00",17867,12.36,1948.708,1883.512,2053.292,3373.495
"2012-10-02 22:50:00",17868,12.36,1948.708,1883.512,2053.292,3373.495
"2012-10-02 23:00:00",17869,12.35,1948.708,1883.512,2053.292,3373.495
"2012-10-02 23:10:00",17870,12.35,1948.708,1883.512,2053.292,3373.495
"2012-10-02 23:20:00",17871,12.35,1948.708,1883.512,2053.292,3373.495
"2012-10-02 23:30:00",17872,12.35,1948.708,1883.512,2053.292,3373.495
"2012-10-02 23:40:00",17873,12.34,1948.708,1883.512,2053.292,3373.495
"2012-10-02 23:50:00",17874,12.34,1948.708,1883.512,2053.292,3373.835
"2012-10-03 00:00:00",17875,12.34,1948.708,1883.512,2053.292,3373.631
"2012-10-03 00:10:00",17876,12.33,1948.708,1883.512,2053.292,3374.31
"2012-10-03 00:20:00",17877,12.33,1948.708,1883.512,2053.292,3374.65
"2012-10-03 00:30:00",17878,12.33,1948.708,1883.512,2053.292,3374.718
"2012-10-03 00:40:00",17879,12.33,1948.708,1883.512,2053.292,3374.854
"2012-10-03 00:50:00",17880,12.32,1948.708,1883.512,2053.292,3374.854
"2012-10-03 01:00:00",17881,12.32,1948.708,1883.512,2053.292,3374.854
"2012-10-03 01:10:00",17882,12.32,1948.708,1883.512,2053.292,3374.854
"2012-10-03 01:20:00",17883,12.31,1948.708,1883.512,2053.292,3374.854
"2012-10-03 01:30:00",17884,12.31,1948.708,1883.512,2053.292,3374.854
"2012-10-03 01:40:00",17885,12.31,1948.708,1883.512,2053.292,3374.854
"2012-10-03 01:50:00",17886,12.31,1948.708,1883.512,2053.292,3374.854
"2012-10-03 02:00:00",17887,12.31,1948.733,1883.537,2053.318,3374.897
"2012-10-03 02:10:00",17888,12.3,1948.808,1883.609,2053.397,3375.027
"2012-10-03 02:20:00",17889,12.3,1948.828,1883.629,2053.419,3375.063
