"TOA5","Kanga_Sap03A","CR1000","33596","CR1000.Std.19","CPU:UTS_SAP02_3A_Dendro24hrMinMaxHMP45.cr1","46354","DendroTenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)"
"TS","RN","Volts","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg"
"2012-09-09 20:40:00",14570,12.31,1155.004,1383.614,1230.295,2781.287
"2012-09-09 20:50:00",14571,12.31,1155.004,1383.615,1230.295,2781.288
"2012-09-09 21:00:00",14572,12.31,1155.004,1383.615,1230.295,2781.288
"2012-09-09 21:10:00",14573,12.31,1155.004,1383.615,1230.295,2781.288
"2012-09-09 21:20:00",14574,12.3,1155.004,1383.615,1230.295,2781.288
"2012-09-09 21:30:00",14575,12.3,1155.004,1383.615,1230.774,2781.424
"2012-09-09 21:40:00",14576,12.3,1155.029,1383.645,1231.691,2781.758
"2012-09-09 21:50:00",14577,12.3,1155.033,1383.854,1231.695,2781.768
"2012-09-09 22:00:00",14578,12.29,1155.088,1383.851,1231.753,2781.899
"2012-09-09 22:10:00",14579,12.29,1155.138,1384.391,1231.806,2782.02
"2012-09-09 22:20:00",14580,12.29,1155.225,1384.496,1231.9,2782.3
"2012-09-09 22:30:00",14581,12.29,1155.303,1385.205,1231.983,2783.103
"2012-09-09 22:40:00",14582,12.29,1155.302,1385.272,1231.981,2783.1
"2012-09-09 22:50:00",14583,12.29,1155.3,1385.339,1231.98,2783.37
"2012-09-09 23:00:00",14584,12.29,1155.345,1385.393,1232.028,2783.479
"2012-09-09 23:10:00",14585,12.28,1155.373,1385.426,1232.057,2783.545
"2012-09-09 23:20:00",14586,12.28,1155.391,1385.448,1232.077,2783.59
"2012-09-09 23:30:00",14587,12.28,1155.397,1385.455,1232.083,2783.603
"2012-09-09 23:40:00",14588,12.28,1155.399,1385.457,1232.085,2783.607
"2012-09-09 23:50:00",14589,12.28,1155.399,1385.457,1232.085,2783.608
"2012-09-10 00:00:00",14590,12.27,1155.399,1385.457,1232.085,2783.608
"2012-09-10 00:10:00",14591,12.27,1155.399,1385.457,1232.085,2783.608
"2012-09-10 00:20:00",14592,12.27,1155.399,1385.457,1232.085,2783.608
"2012-09-10 00:30:00",14593,12.27,1155.399,1385.457,1232.085,2783.608
"2012-09-10 00:40:00",14594,12.26,1155.399,1385.457,1232.085,2783.608
"2012-09-10 00:50:00",14595,12.26,1155.399,1385.457,1232.085,2783.608
"2012-09-10 01:00:00",14596,12.26,1155.468,1385.457,1232.085,2783.608
"2012-09-10 01:10:00",14597,12.26,1155.673,1385.457,1232.222,2783.608
"2012-09-10 01:20:00",14598,12.26,1155.878,1385.457,1232.564,2783.608
"2012-09-10 01:30:00",14599,12.25,1155.947,1385.457,1233.455,2783.608
"2012-09-10 01:40:00",14600,12.25,1156.221,1385.457,1233.249,2783.608
"2012-09-10 01:50:00",14601,12.25,1156.495,1385.457,1233.249,2783.608
"2012-09-10 02:00:00",14602,12.25,1156.563,1385.457,1233.386,2783.608
"2012-09-10 02:10:00",14603,12.25,1156.426,1385.457,1233.455,2783.608
"2012-09-10 02:20:00",14604,12.24,1156.426,1385.457,1233.455,2783.608
"2012-09-10 02:30:00",14605,12.24,1156.631,1385.457,1233.455,2783.608
"2012-09-10 02:40:00",14606,12.24,1156.495,1385.457,1233.455,2783.608
"2012-09-10 02:50:00",14607,12.24,1156.631,1385.457,1233.455,2783.608
"2012-09-10 03:00:00",14608,12.24,1156.7,1385.457,1233.455,2783.608
"2012-09-10 03:10:00",14609,12.24,1156.7,1385.457,1233.455,2783.608
